B0031-07       0.942951  4.08e-16    37.700  
B0045+33       1.217094  2.35e-15    21.700  
B0138+59       1.222949  3.91e-16    34.900
B0149-16       0.832742  1.30e-15    14.600  
B0301+19       1.387584  1.30e-15    42.000  
B0525+21       3.745539  4.01e-14   151.900  
B0529-66       0.975737  1.55e-14    24.000  
B0751+32       1.442349  1.08e-15    12.200  
B0823+26       0.530661  1.71e-15     5.800  
B0826-34       1.848919  9.96e-16   740.000  
B0834+06       1.273768  6.80e-15    24.800  
B0940+16       1.087418  9.11e-17    53.200  
B0942-13       0.570264  4.53e-17     6.900  
B1011-58       0.819926  1.78e-14     7.300  
B1112+50       1.656440  2.49e-15    16.600  
B1133+16       1.187913  3.73e-15     5.900  
B1237+25       1.382449  9.60e-16    44.500  
B1322-66       0.543015  5.33e-15    41.900  
B1424-55       0.570292  2.09e-15    12.200  
B1530+27       1.124836  7.80e-16    25.700  
B1612+07       1.206801  2.36e-15    11.900  
B1641-68       1.785613  1.70e-15    74.900  
B1658-37       2.454618  1.11e-14    40.900  
B1706-16       0.653054  6.31e-15     7.600  
B1713-40       0.887719  3.70e-15     9.600  
B1738-08       2.043082  2.27e-15    57.900  
B1745-20A      0.288603  3.99e-16    87.000  
B1753+52       2.391397  1.56e-15    11.400
B1806-21       0.702414  3.82e-15    13.000  
B1809-173      1.205374  1.91e-14    16.400  
B1813-36       0.387019  2.02e-15     9.000
B1822-14       0.279198  2.27e-14     9.000  
B1834-06       1.905809  7.72e-16    50.300  
B1839+09       0.381319  1.09e-15     7.900  
B1846-06       1.451319  4.62e-14    89.000  
B1848+12       1.205303  1.15e-14    11.000  
B1857-26       0.612209  2.05e-16    52.000  
B1907+03       2.330263  4.47e-15   265.000  
B1923+04       1.074080  2.46e-15    15.800  
B1942+17       1.996899  7.30e-16    40.000  
B1942-00       1.045632  5.35e-16    50.000  
B1944+17       0.440618  2.41e-17    13.500  
B2003-08       0.580871  4.60e-17    78.300  
B2045-16       1.961572  1.10e-14     9.800  
B2110+27       1.202852  2.62e-15    13.000  
B2111+46       1.014685  7.15e-16    32.100  
B2154+40       1.525266  3.43e-15    38.600  
B2310+42       0.349434  1.12e-16     8.800  
B2315+21       1.444653  1.05e-15    20.200  
B2319+60       2.256488  7.04e-15   131.100  
B2323+63       1.436310  2.83e-15   131.200
B2327-20       1.643622  4.63e-15     6.400  
J0215+6218     0.548880  6.62e-16     0.000
J0448-2749     0.450448  1.48e-16    10.500  
J0633-2015     3.253211  3.82e-15    60.000  
J0656-2228     1.224754  2.67e-17    13.300  
J0815+0939     0.645161  1.39e-16   166.000
J0930-2301     1.807069  3.36e-15    62.100  
J1049-5833     2.202325  4.41e-15    30.000  
J1107-5907     0.252773  9.01e-18     9.300
J1220-6318     0.789212  8.03e-17    58.000  
J1225-6035     0.626324  2.88e-16     3.900  
J1255-6131     0.657974  4.00e-15     8.600  
J1403-7646     1.306198  1.20e-15    94.300  
J1405-5641     0.617575  1.20e-15    12.000  
J1502-5653     0.535504  1.83e-15     7.200  
J1525-5417     1.011694  1.62e-14    15.000  
J1634-5107     0.507356  1.57e-15    14.000
J1649+2533     1.015257  5.59e-16    25.000  
J1650-1654     1.749552  3.20e-15    44.200  
J1651-7642     1.755311  1.36e-15    75.600  
J1702-4428     2.123506  3.30e-15    74.000  
J1703-4851     1.396405  5.07e-15     9.700  
J1715-4034     2.072155  3.03e-15    77.100
J1725-4043     1.465071  2.79e-15    50.000  
J1727-2739     1.293100  1.07e-15    87.300  
J1738-2330     1.978847  8.56e-15    35.000  
J1742-4616     0.412401  3.38e-17    21.800  
J1744-3922     0.172444  1.55e-18     3.400  
J1752+2359     0.409051  6.43e-16     4.000  
J1808-0813     0.876044  1.24e-15    20.400  
J1819+1305     1.060364  3.59e-16    56.000  
J1820-0509     0.337321  9.32e-16     9.000  
J1827-0750     0.270502  1.54e-15    10.000  
J1831-1223     2.857941  5.47e-15    92.100  
J1833-1055     0.633640  5.27e-16    24.200  
J1843-0211     2.027524  1.44e-14    24.000  
J1847-0605     0.778164  4.65e-15    13.100  
J1850+0026     1.081844  3.59e-16    12.600  
J1851-0053     1.409065  8.74e-16    15.300  
J1851-0114     0.953182  2.48e-15    22.000  
J1853+0505     0.905137  1.28e-15   100.000  
J1901+0413     2.663080  1.32e-13    91.000  
J1901-0312     0.355725  2.29e-15     7.900  
J1916+1023     1.618339  6.81e-16    72.000  
J1920+1040     2.215802  6.48e-15    45.000  
J1926-0652     1.608816  3.91e-16   202.000  
J2044+4614     1.392715  6.30e-16      0.0
J2208+5500     0.933163  6.99e-15     8.600  
J2253+1516     0.792236  6.65e-17     8.000  
J2346-0609     1.181463  1.36e-15    48.600  
