##name  p(s)   pdot(1e-15)
J0201+7005      1.349	 5.514	
J0410-31        1.879	 0.880	
J0628+09        1.241	 0.548	
J0847-4316	5.977	 119	
J1048-5838	1.231	 12.19	
J1226-3223	6.193	 4.312	
J1317-5759	2.642	 12.6	
J1444-6026	4.759	 18.5	
J1513-5946	1.046	 8.53	
J1538+2345	3.449	 6.9	
J1623-08	0.503	 1.958	
J1652-4406	7.707	 9.5	
J1653-2330	0.545	 13.51	
J1707-44	5.764	 11.7	
J1739-25	1.818	 0.29	
J1754-30	1.320	 4.424	
J1807-25	2.764	 4.99	
J1819-1458	4.263	 575	
J1826-1419	0.771	 8.78	
J1839-01	0.933	 5.943	
J1840-1419	6.598	 6.33	
J1846-0257	4.477	 161	
J1848-12	0.414	 4.403	
J1854+0306	4.558	 145	
J1913+1330	0.923	 8.68	
J2105+6223	2.305	 5.0	
J2325-0530	0.869	 1.029	
